district,year,area (000 acres),production (000 tons),yield (mds/acre),area (000 hectares),yield (kg/hectare),source_file
M.B.Din,2023-24,51.0,1281.1,628.0,20.64,62074.0,Final Kharif Estimates 2023-24
MULTAN DIV:,2023-24,45.0,1364.8,758.2,18.21,74944.0,Final Kharif Estimates 2023-24
Mianwali,2023-24,11.0,301.0,684.0,4.45,67609.0,Final Kharif Estimates 2023-24
Multan,2023-24,4.0,109.9,687.0,1.62,67906.0,Final Kharif Estimates 2023-24
Muzzafargargh,2023-24,44.0,1503.0,854.0,17.81,84413.0,Final Kharif Estimates 2023-24
NORTH PUNJAB,2023-24,1039.0,30536.8,734.76,420.47,72627.0,Final Kharif Estimates 2023-24
Nankana Sahib,2023-24,25.0,667.0,667.0,10.12,65929.0,Final Kharif Estimates 2023-24
Narowal,2023-24,4.0,52.3,327.0,1.62,32322.0,Final Kharif Estimates 2023-24
Okara,2023-24,25.0,1026.0,1026.0,10.12,101414.0,Final Kharif Estimates 2023-24
PUNJAB,2023-24,1977.0,63308.8,800.57,800.06,79132.0,Final Kharif Estimates 2023-24
Pakpattan,2023-24,4.0,90.7,567.0,1.62,56045.0,Final Kharif Estimates 2023-24
Rahim Yar Khan,2023-24,508.0,18816.3,926.0,205.58,91530.0,Final Kharif Estimates 2023-24
Rajan Pur,2023-24,112.0,3897.6,870.0,45.32,85994.0,Final Kharif Estimates 2023-24
SAHIWAL DIV:,2023-24,37.0,1335.6,902.43,14.98,89200.0,Final Kharif Estimates 2023-24
SARGODHA DIV:,2023-24,272.0,7762.6,713.47,110.07,70522.0,Final Kharif Estimates 2023-24
SOUTH PUNJAB,2023-24,938.0,32772.0,873.45,379.59,86335.0,Final Kharif Estimates 2023-24
Sahiwal,2023-24,8.0,218.9,684.0,3.24,67609.0,Final Kharif Estimates 2023-24
Sargodha,2023-24,146.0,4315.8,739.0,59.08,73046.0,Final Kharif Estimates 2023-24
Sheikhupura,2023-24,3.0,74.8,623.0,1.21,61580.0,Final Kharif Estimates 2023-24
Sialkot,2023-24,5.0,123.0,615.0,2.02,60789.0,Final Kharif Estimates 2023-24
T.T. Singh,2023-24,68.0,2012.8,740.0,27.52,73145.0,Final Kharif Estimates 2023-24
Vehari,2023-24,22.0,612.5,696.0,8.9,68795.0,Final Kharif Estimates 2023-24
Wazirabad,2023-24,1.5,31.6,527.0,0.61,52091.0,Final Kharif Estimates 2023-24
BAHAWALPUR DIV:,2024-25,618.0,20352.0,823.0,250.09,81380.0,Final Kharif Estimates 2024-25
Bahawalnagar,2024-25,31.0,946.0,763.0,12.55,75418.0,Final Kharif Estimates 2024-25
Bahawalpur,2024-25,50.0,1492.0,746.0,20.23,73738.0,Final Kharif Estimates 2024-25
Bhakkar,2024-25,105.5,2646.0,627.0,42.69,61975.0,Final Kharif Estimates 2024-25
Chiniot,2024-25,145.0,4478.0,772.0,58.68,76308.0,Final Kharif Estimates 2024-25
D.G. KHAN DIV:,2024-25,309.0,9061.0,733.0,125.05,72461.0,Final Kharif Estimates 2024-25
D.G. Khan,2024-25,12.0,305.0,636.0,4.86,62865.0,Final Kharif Estimates 2024-25
FAISALABAD DIV:,2024-25,577.0,17051.0,739.0,233.5,73026.0,Final Kharif Estimates 2024-25
Faisalabad,2024-25,201.0,5925.0,737.0,81.34,72848.0,Final Kharif Estimates 2024-25
GUJRANWALA DIV:,2024-25,7.5,149.0,496.0,3.03,49066.0,Final Kharif Estimates 2024-25
GUJRAT DIV:,2024-25,65.0,1619.0,623.0,26.3,61534.0,Final Kharif Estimates 2024-25
Gujranwala,2024-25,0.5,12.0,602.0,0.2,59504.0,Final Kharif Estimates 2024-25
Gujrat,2024-25,6.0,115.0,480.0,2.43,47445.0,Final Kharif Estimates 2024-25
Hafizabad,2024-25,6.0,145.0,606.0,2.43,59899.0,Final Kharif Estimates 2024-25
Jhang,2024-25,157.0,4547.0,724.0,63.53,71563.0,Final Kharif Estimates 2024-25
Khanewal,2024-25,10.0,318.0,795.0,4.05,78581.0,Final Kharif Estimates 2024-25
Khushab,2024-25,10.0,211.0,528.0,4.05,52190.0,Final Kharif Estimates 2024-25
Kot Addu,2024-25,91.0,2759.0,758.0,36.83,74924.0,Final Kharif Estimates 2024-25
LAHORE DIV:,2024-25,63.0,1457.0,578.0,25.5,57163.0,Final Kharif Estimates 2024-25
Lahore,2024-25,38.0,796.0,524.0,15.38,51794.0,Final Kharif Estimates 2024-25
Layyah,2024-25,43.0,1085.0,631.0,17.4,62371.0,Final Kharif Estimates 2024-25
Lodhran,2024-25,9.0,302.0,839.0,3.64,82930.0,Final Kharif Estimates 2024-25
M.B.Din,2024-25,52.0,1340.0,644.0,21.04,63656.0,Final Kharif Estimates 2024-25
MULTAN DIV:,2024-25,50.0,1448.0,724.0,20.23,71541.0,Final Kharif Estimates 2024-25
Mianwali,2024-25,13.0,324.0,624.0,5.26,61679.0,Final Kharif Estimates 2024-25
Multan,2024-25,5.0,117.0,586.0,2.02,57923.0,Final Kharif Estimates 2024-25
Muzzafargargh,2024-25,43.0,1249.0,729.0,17.4,72057.0,Final Kharif Estimates 2024-25
NORTH PUNJAB,2024-25,1041.0,29251.0,702.0,421.27,69436.0,Final Kharif Estimates 2024-25
Nankana Sahib,2024-25,21.0,556.0,662.0,8.5,65435.0,Final Kharif Estimates 2024-25
Narowal,2024-25,3.0,43.0,362.0,1.21,35782.0,Final Kharif Estimates 2024-25
Okara,2024-25,26.0,1077.0,1036.0,10.52,102402.0,Final Kharif Estimates 2024-25
PUNJAB,2024-25,2018.0,60112.0,745.0,816.64,73609.0,Final Kharif Estimates 2024-25
Pakpattan,2024-25,2.0,37.0,457.0,0.81,45172.0,Final Kharif Estimates 2024-25
Rahim Yar Khan,2024-25,537.0,17914.0,834.0,217.31,82436.0,Final Kharif Estimates 2024-25
SAHIWAL DIV:,2024-25,34.0,1285.0,945.0,13.76,93384.0,Final Kharif Estimates 2024-25
SARGODHA DIV:,2024-25,294.5,7690.0,653.0,119.18,64527.0,Final Kharif Estimates 2024-25
SOUTH PUNJAB,2024-25,977.0,30861.0,790.0,395.37,78055.0,Final Kharif Estimates 2024-25
Sahiwal,2024-25,6.0,171.0,712.0,2.43,70377.0,Final Kharif Estimates 2024-25
Sargodha,2024-25,166.0,4509.0,679.0,67.18,67115.0,Final Kharif Estimates 2024-25
Sheikhupura,2024-25,4.0,105.0,655.0,1.62,64743.0,Final Kharif Estimates 2024-25
Sialkot,2024-25,4.0,93.0,584.0,1.62,57725.0,Final Kharif Estimates 2024-25
T.T. Singh,2024-25,74.0,2102.0,710.0,29.95,70179.0,Final Kharif Estimates 2024-25
Taunsa,2024-25,120.0,3662.0,763.0,48.56,75418.0,Final Kharif Estimates 2024-25
Vehari,2024-25,26.0,710.0,683.0,10.52,67510.0,Final Kharif Estimates 2024-25
Wazirabad,2024-25,1.0,18.0,461.0,0.4,45567.0,Final Kharif Estimates 2024-25
